created_date,source,context,annotator,mood_parent,mood_child,gender,reason
2024-02-11,X,"도가니 이후로 이렇게 분노만 가득 남은 영화는 오랜만,,,,,,,,,,진짜 뭐 하나 때려뿌수고싶어서 포스터 구멍낸 사람들 양반으로 느껴질 지경",C,분노,발열,F,child_unknown_or_mismatch
2024-02-11,X,"도가니 이후로 이렇게 분노만 가득 남은 영화는 오랜만,,,,,,,,,,진짜 뭐 하나 때려뿌수고싶어서 포스터 구멍낸 사람들 양반으로 느껴질 지경",B,분노,발열,M,child_unknown_or_mismatch
2024-02-12,X,나는 솔직히 미인대회도 소름이지만 이때 도파민 쳐돌았음 크루즈에서 크라임씬 최초 연속 살인 사건 발생한거,C,기쁨,놀람,F,child_unknown_or_mismatch
2024-02-13,X,"사진찍은꼴봐라
열받음",B,분노,발열,M,child_unknown_or_mismatch
2024-02-15,X,회사사람이 이 명함케이스 주면서 포장 뜯어보면 넘 구려서 깜짝 놀랄 거라고 했는데 나... 마음에 든다... ?,C,기쁨,놀람,F,child_unknown_or_mismatch
2024-02-15,X,회사사람이 이 명함케이스 주면서 포장 뜯어보면 넘 구려서 깜짝 놀랄 거라고 했는데 나... 마음에 든다... ?,A,기쁨,놀람,F,child_unknown_or_mismatch
2024-02-13,X,게임을 왜 하는 거지...? 스트레스 받는데…,D,분노,발열,M,child_unknown_or_mismatch
2024-02-13,X,게임을 왜 하는 거지...? 스트레스 받는데…,E,분노,발열,F,child_unknown_or_mismatch
2024-02-14,X,이런 미친 유퀴즈 강지영???? 이렇게 깜짝 선물을 들고 와주신다고요???!!!!!!!!!!!!!,A,기쁨,놀람,F,child_unknown_or_mismatch
2024-02-14,X,이런 미친 유퀴즈 강지영???? 이렇게 깜짝 선물을 들고 와주신다고요???!!!!!!!!!!!!!,B,기쁨,놀람,M,child_unknown_or_mismatch
2024-02-14,X,"이집트 즐겁게 여행하다가 오늘 하룻동안 미친 사기꾼들 3명 만나서 
영어로 뭐라뭐라 하다가 안돼서 한국어로 욕 함…… ",C,분노,발열,F,child_unknown_or_mismatch
2024-02-09,X,"그리고 혜원 언니 자존감 낮은거 너무 안타까움
언니 칭찬만 가득 해드려야돼 진짜로",A,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-09,X,"그리고 혜원 언니 자존감 낮은거 너무 안타까움
언니 칭찬만 가득 해드려야돼 진짜로",D,슬픔,동정(슬픔),M,child_unknown_or_mismatch
2024-02-15,X,학대받으면 복수심이 생기는게 아니라 애정결핍이 생기는 부분이 너무 안타까움 남들이 보기엔 그냥 착한건데 사실은 일원으로 인정받고싶어서 애쓰는거라는게 ㅜㅜ,A,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-15,X,학대받으면 복수심이 생기는게 아니라 애정결핍이 생기는 부분이 너무 안타까움 남들이 보기엔 그냥 착한건데 사실은 일원으로 인정받고싶어서 애쓰는거라는게 ㅜㅜ,D,슬픔,동정(슬픔),M,child_unknown_or_mismatch
2024-02-15,X,하 나솔 13기 보다가 홧병나서 디질뻔했네,D,분노,발열,M,child_unknown_or_mismatch
2024-02-15,X,하 나솔 13기 보다가 홧병나서 디질뻔했네,C,분노,발열,F,child_unknown_or_mismatch
2024-02-19,X,문파단체방에서 퍼왔는데 총선 코앞에두고 사기를 당하다니 분통터져서 눈물이 나네요,C,분노,발열,F,child_unknown_or_mismatch
2024-02-20,X,이런 스토리라인 어케 봄 ㄹㅇ? 나는 걍 화가 나고 기가 차서 못 볼 것 가틈 저거 한 줄만 읽어도 분통 터짐,C,분노,발열,F,child_unknown_or_mismatch
2024-02-14,X,아니 유튜브도 아니고 저게 트래저의 공중파 방송이라는 점이 놀라움 진짜 SBS 적혀있는데 잘못본줄,D,기쁨,놀람,M,child_unknown_or_mismatch
2024-02-14,X,아니 유튜브도 아니고 저게 트래저의 공중파 방송이라는 점이 놀라움 진짜 SBS 적혀있는데 잘못본줄,C,기쁨,놀람,F,child_unknown_or_mismatch
2024-02-17,X,이 장면으로 킬링이브 처음 접하고 진짜 (긍정적인의미로) 충격 먹었었는데..,D,기쁨,놀람,M,child_unknown_or_mismatch
2024-02-17,X,이 장면으로 킬링이브 처음 접하고 진짜 (긍정적인의미로) 충격 먹었었는데..,A,기쁨,놀람,F,child_unknown_or_mismatch
2024-02-15,X, 주말에 전략적으로 디저트 먹을 생각 하니까 기분이 좋아졌다.,B,기쁨,기대감,M,child_unknown_or_mismatch
2024-02-15,X, 주말에 전략적으로 디저트 먹을 생각 하니까 기분이 좋아졌다.,A,기쁨,기대감,F,child_unknown_or_mismatch
2024-02-21,X,묘하게 스트레스 받는데 풀 방법을 모르겠다.,E,분노,발열,F,child_unknown_or_mismatch
2024-02-19,X,이 트윗만 봤는데 몸에서 사리나오고 스트레스 받음,E,분노,발열,F,child_unknown_or_mismatch
2024-02-18,X,그냥 너무 안타깝고 얼마나 힘들고 외로운싸움을 햇을지..,D,슬픔,동정(슬픔),M,child_unknown_or_mismatch
2024-02-18,X,그냥 너무 안타깝고 얼마나 힘들고 외로운싸움을 햇을지..,A,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-21,X,여기 아사히 진짜 너무 차갑게 없는 사람 취급해서 내가 다 슬픔,D,슬픔,동정(슬픔),M,child_unknown_or_mismatch
2024-02-21,X,여기 아사히 진짜 너무 차갑게 없는 사람 취급해서 내가 다 슬픔,E,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-21,X,아니 나 욕 진짜 안하는데(?) 맥북 살 때 너무 비싸서 엄청 열받았나보다 ㅋㅋ,C,분노,발열,F,child_unknown_or_mismatch
2024-02-20,X,"마지막 강지원 표정 왠지 모르게 뭉클함 . . .
그동안 겪었던 모든 서사가 다 지나가잖아",E,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-22,X,눈 많이 와서 엄청 예뻐 오늘 학교 가면 또 겨울왕국이겠다 사진 많이 찍어야지,A,기쁨,기대감,F,child_unknown_or_mismatch
2024-02-15,네이버 블로그,첫째 태어난지 얼마 안된 것 같은데 두살 터울 신생아가 태어나기를 기다리는 중이라서 설레면서도 긴장 되네요.,A,기쁨,기대감,F,child_unknown_or_mismatch
2024-02-15,네이버 블로그,첫째 태어난지 얼마 안된 것 같은데 두살 터울 신생아가 태어나기를 기다리는 중이라서 설레면서도 긴장 되네요.,D,기쁨,기대감,M,child_unknown_or_mismatch
2024-02-01,네이버 블로그,마취할 때 너무 참으면서 울어가지고 불쌍ㅜ,E,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-01,네이버 블로그,마취할 때 너무 참으면서 울어가지고 불쌍ㅜ,A,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-01-12,네이버 블로그,"군사반란을 진압할 수도, 전두광을 잡을 수도 저지할 수도 있는 기회가 여러번 있었지만 기회를 놓치게 만들어버린 사람들을 보면서 진짜진짜 열받고 안타깝더라구요",C,분노,발열,F,child_unknown_or_mismatch
2024-02-17,네이버 블로그,아직 2월이 열흘 넘게 남았지만 부쩍 봄이 다가온 게 느껴진다,E,기쁨,기대감,F,child_unknown_or_mismatch
2024-02-17,네이버 블로그,아직 2월이 열흘 넘게 남았지만 부쩍 봄이 다가온 게 느껴진다,D,기쁨,기대감,M,child_unknown_or_mismatch
2024-02-17,네이버 블로그,아직 2월이 열흘 넘게 남았지만 부쩍 봄이 다가온 게 느껴진다,C,기쁨,기대감,F,child_unknown_or_mismatch
1905-07-16,네이버 블로그,동네방네 소문 내려다가 2번째 들어와서 놔준 간호사 언니 때문에 참는다 진짜 ㅠ,E,분노,발열,F,child_unknown_or_mismatch
2024-01-09,네이버 블로그,"오늘 검사 결과가 좋았고, 이대로라면 8차까지만 하고 항암은 끝낼 수 있을 것 같다고 했다!!! ",D,기쁨,기대감,M,child_unknown_or_mismatch
2024-01-09,네이버 블로그,"오늘 검사 결과가 좋았고, 이대로라면 8차까지만 하고 항암은 끝낼 수 있을 것 같다고 했다!!! ",B,기쁨,기대감,M,child_unknown_or_mismatch
2023-09-12,네이버 블로그,엄마 배아파서 엎어져 있는데 이러디마.........,A,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-21,네이버 블로그,아가들. 왜 벌써 어린이가 됐어 왜 벌써 뛰어다녀!!!!,A,기쁨,놀람,F,child_unknown_or_mismatch
2024-02-22,X,인간쓰레기 인간기생충 인간구더기 씹새끼 개후래자식놈들!,D,분노,발열,M,child_unknown_or_mismatch
2024-02-26,X,개빡쳐서 좀 조용히 하라고 뭐라고 했었음 ㅡㅡ,C,분노,발열,F,child_unknown_or_mismatch
2024-02-26,X,누가 시체관극하랬냐 기본적인 매너는 씨발 있어야 할 것 아니예요.,C,분노,발열,F,child_unknown_or_mismatch
2024-02-25,X,나 진짜 살다살다 방수 된다고 태블릿 냅다까라 진짜 물에 담궈버리는 거 처음 봄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,D,기쁨,놀람,M,child_unknown_or_mismatch
2024-02-26,X,오늘 날씨 너무 좋아서 먼가 무슨 일 생길 것 같음,B,기쁨,기대감,M,child_unknown_or_mismatch
2024-02-26,X,오늘 날씨 너무 좋아서 먼가 무슨 일 생길 것 같음,D,기쁨,기대감,M,child_unknown_or_mismatch
2024-02-26,X,이영상이네요… 안타깝습니다….,E,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-26,X,이영상이네요… 안타깝습니다….,A,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-26,X,이영상이네요… 안타깝습니다….,C,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-15,Threads,할아버님 따님 잘 만나셨을까요 ?! 괜스레 읽는데 주책없이 눈물나네요 ㅠㅠ,A,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-14,Threads,기분이 좋으면서도 좀 놀랐어.,D,기쁨,놀람,M,child_unknown_or_mismatch
2024-02-14,Threads,기분이 좋으면서도 좀 놀랐어.,A,기쁨,놀람,F,child_unknown_or_mismatch
2024-02-14,Threads,기분이 좋으면서도 좀 놀랐어.,C,기쁨,놀람,F,child_unknown_or_mismatch
2024-02-15,Threads,입장바꿔 생각하면 저런말도 안나올듯... 아오 열폭하네... ,C,분노,발열,F,child_unknown_or_mismatch
2024-02-15,Threads,입장바꿔 생각하면 저런말도 안나올듯... 아오 열폭하네... ,B,분노,발열,M,child_unknown_or_mismatch
2024-02-15,Threads,입장바꿔 생각하면 저런말도 안나올듯... 아오 열폭하네... ,D,분노,발열,M,child_unknown_or_mismatch
2024-02-15,Threads,옷에서 얼굴이 똭!!! 신기합니다,E,기쁨,놀람,F,child_unknown_or_mismatch
2024-02-15,Threads,옷에서 얼굴이 똭!!! 신기합니다,B,기쁨,놀람,M,child_unknown_or_mismatch
2024-02-15,Threads,옷에서 얼굴이 똭!!! 신기합니다,D,기쁨,놀람,M,child_unknown_or_mismatch
2024-02-15,Threads,옷에서 얼굴이 똭!!! 신기합니다,A,기쁨,놀람,F,child_unknown_or_mismatch
2024-02-15,Threads,옷에서 얼굴이 똭!!! 신기합니다,C,기쁨,놀람,F,child_unknown_or_mismatch
2024-02-21,Threads,하……진짜 욕 나온다 어떻게 그런말을 아이한테…,C,분노,발열,F,child_unknown_or_mismatch
2024-02-20,Threads,아… 나 공감되서 눈물날라 그래.. 난 지금 연락을 끊고 지내는 상태이지만.. 정말.. 이런 시댁이 많구나.. 라고 생각하니.. 착잡하다…,A,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-21,Threads,너무 슬퍼요 😭 아내분은 잘 계실거니까 너무 슬퍼하지 말고 행복하세요 !,E,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-21,Threads,너무 슬퍼요 😭 아내분은 잘 계실거니까 너무 슬퍼하지 말고 행복하세요 !,D,슬픔,동정(슬픔),M,child_unknown_or_mismatch
2024-02-21,Threads,너무 슬퍼요 😭 아내분은 잘 계실거니까 너무 슬퍼하지 말고 행복하세요 !,B,슬픔,동정(슬픔),M,child_unknown_or_mismatch
2024-02-21,Threads,너무 슬퍼요 😭 아내분은 잘 계실거니까 너무 슬퍼하지 말고 행복하세요 !,C,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-21,Threads,너무 슬퍼요 😭 아내분은 잘 계실거니까 너무 슬퍼하지 말고 행복하세요 !,A,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-21,Threads,지금도 언제든 저거만보면 눈물버튼 작동😭 저런사랑이 있을까싶어.,A,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-20,Threads,"평소엔 그저 동생인데 양보하는 마음도 가지고 좋은게 좋은거려니 했지만, 매번 둘째 때문에 맘고생 하고 있는 지유 생각에 착잡하기만 하다.",D,슬픔,동정(슬픔),M,child_unknown_or_mismatch
2024-02-20,Threads,"평소엔 그저 동생인데 양보하는 마음도 가지고 좋은게 좋은거려니 했지만, 매번 둘째 때문에 맘고생 하고 있는 지유 생각에 착잡하기만 하다.",B,슬픔,동정(슬픔),M,child_unknown_or_mismatch
2024-02-21,Threads,어머 ㅠㅠ 세상에나 ㅠㅠ 정말 차 조심 정말 정말.. ㅠ 이사님과 어머님께는 명복을.. ㅠ,D,슬픔,동정(슬픔),M,child_unknown_or_mismatch
2024-02-21,Threads,어머 ㅠㅠ 세상에나 ㅠㅠ 정말 차 조심 정말 정말.. ㅠ 이사님과 어머님께는 명복을.. ㅠ,A,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-21,Threads,쓰치니가 행복해야하는데 이런일을 당하고 있다 생각하니 넘 슬프다 ㅠㅠㅠ,D,슬픔,동정(슬픔),M,child_unknown_or_mismatch
2024-02-21,Threads,쓰치니가 행복해야하는데 이런일을 당하고 있다 생각하니 넘 슬프다 ㅠㅠㅠ,B,슬픔,동정(슬픔),M,child_unknown_or_mismatch
2024-02-21,Threads,쓰치니가 행복해야하는데 이런일을 당하고 있다 생각하니 넘 슬프다 ㅠㅠㅠ,A,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-22,Threads,말 진짜 개떡같이 하네 뭐야이게 화나,C,분노,발열,F,child_unknown_or_mismatch
2024-02-22,Threads,진짜 못되고 불쌍한 사람이다 .. 너무 상처받지 않았으면 좋겠어 .. ㅠ.ㅠ,A,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-22,Threads,진짜 못되고 불쌍한 사람이다 .. 너무 상처받지 않았으면 좋겠어 .. ㅠ.ㅠ,D,슬픔,동정(슬픔),M,child_unknown_or_mismatch
2024-02-22,Threads,진짜 못되고 불쌍한 사람이다 .. 너무 상처받지 않았으면 좋겠어 .. ㅠ.ㅠ,C,슬픔,동정(슬픔),F,child_unknown_or_mismatch
2024-02-21,Threads,한참 스트레스 심할때는 아침에 눈떠서 샤워할때마다 생각나서 얼마나 화가 나던지 ㅜㅜ,E,분노,발열,F,child_unknown_or_mismatch
2024-02-21,Threads,와.... 순간 소름돋음 ㄷㄷㄷ 그래도 다 샀으니 노빠꾸로 ㅎㅎㅎ,C,기쁨,놀람,F,child_unknown_or_mismatch
2024-02-21,Threads,아아아ㅏㅏ 넘 신경쓰여 너무 서럽게 울고 있던데..ㅠ,E,슬픔,동정(슬픔),F,child_unknown_or_mismatch
